Date,log_return,c2c_20,c2c_60,c2c_120,park_20,park_60,park_120,gk_20,gk_60,gk_120,rs_20,rs_60,rs_120
2023-01-04,0.007690757842011733,,,,,,,,,,,,
2023-01-05,-0.011479055930729997,,,,,,,,,,,,
2023-01-06,0.02267290844832307,,,,,,,,,,,,
2023-01-09,-0.0005670768592641781,,,,,,,,,,,,
2023-01-10,0.006988480261812831,,,,,,,,,,,,
2023-01-11,0.012568477571363815,,,,,,,,,,,,
2023-01-12,0.0036342301433034603,,,,,,,,,,,,
2023-01-13,0.00387197317714119,,,,,,,,,,,,
2023-01-17,-0.0018336226854317821,,,,,,,,,,,,
2023-01-18,-0.015913969159396368,,,,,,,,,,,,
2023-01-19,-0.007306310114797789,,,,,,,,,,,,
2023-01-20,0.018457434994332812,,,,,,,,,,,,
2023-01-23,0.011927330547807664,,,,,,,,,,,,
2023-01-24,-0.0010738494455551275,,,,,,,,,,,,
2023-01-25,0.00037467799070319387,,,,,,,,,,,,
2023-01-26,0.01093046946650935,,,,,,,,,,,,
2023-01-27,0.002295013759648539,,,,,,,,,,,,
2023-01-30,-0.012626242735022091,,,,,,,,,,,,
2023-01-31,0.014596455186334721,,,,0.1471468860058063,,,0.14702602427033276,,,0.14587969705719878,,
2023-02-01,0.010571627857512794,0.1651489550140218,,,0.15115831542479088,,,0.15093345177740256,,,0.14919476372171048,,
2023-02-02,0.014452065542728746,0.1689674017052877,,,0.15017701760288096,,,0.14925930977526589,,,0.1472646713484161,,
2023-02-03,-0.010686121394616766,0.16801682035354393,,,0.15222246785353086,,,0.15265416269615986,,,0.15287534077087708,,
2023-02-06,-0.006129999553509491,0.1566630560752783,,,0.1430660705841208,,,0.14330320926658544,,,0.14391401643476495,,
2023-02-07,0.01299386345349382,0.16023623713578714,,,0.1466809820918888,,,0.14506947161745956,,,0.14331606777693284,,
2023-02-08,-0.01099495317260407,0.16745419259602343,,,0.14664049780087293,,,0.14563334264090774,,,0.1440079150493706,,
2023-02-09,-0.008707171174602967,0.16752644075288214,,,0.15183390922708007,,,0.1488343646051567,,,0.14611477047975865,,
2023-02-10,0.0023310885445910557,0.1673640137910508,,,0.1493519449305766,,,0.14483883514367416,,,0.1408599342490236,,
2023-02-13,0.011670524126822639,0.17115269614604298,,,0.14815069678374143,,,0.14399496096105338,,,0.1402580043007314,,
2023-02-14,-0.0004602852880816351,0.17083870114984523,,,0.1510219588606719,,,0.14793458171768806,,,0.14412626668184303,,
2023-02-15,0.003242173907923184,0.1574499713653959,,,0.14527240758274634,,,0.14459417637108485,,,0.14210956264762387,,
2023-02-16,-0.013864617884842056,0.16458849327181344,,,0.14587584949214363,,,0.145465195268655,,,0.1450408357160743,,
2023-02-17,-0.0025012778489037855,0.1540552399740266,,,0.140984559490399,,,0.14221648879415474,,,0.142889097811195,,
2023-02-21,-0.02026494787967958,0.1667805464605569,,,0.13896367472369592,,,0.13940058751925963,,,0.1400307634155701,,
2023-02-22,-0.0013789816612586258,0.16680544616816292,,,0.1394343550361005,,,0.14013546883881806,,,0.14077576804965175,,
2023-02-23,0.005305291206670953,0.1679480927475118,,,0.13777649289386232,,,0.13989559117021916,,,0.14253051308863846,,
2023-02-24,-0.010739871006367585,0.16692095306740046,,,0.13671218762619208,,,0.13861981017738584,,,0.14025847128381885,,
2023-02-27,0.003400091851884324,0.16725996033758303,,,0.13661522195456297,,,0.13841906225992182,,,0.13937205767944844,,
2023-02-28,-0.003702729350387189,0.1619405038653647,,,0.13522576677741865,,,0.13694688702349836,,,0.13800826577335756,,
2023-03-01,-0.003843394465999784,0.15199854516699016,,,0.1329648631003279,,,0.1369462586375801,,,0.13888845877341532,,
2023-03-02,0.007747093483733014,0.14933925702273002,,,0.12392034098324008,,,0.12500822295780983,,,0.12728398792533202,,
2023-03-03,0.015910642621193575,0.1514936977459196,,,0.12412750621654642,,,0.12327775966066731,,,0.12499320422727979,,
2023-03-06,0.000692688334369391,0.14771323773420936,,,0.12172798196295512,,,0.11994228693994512,,,0.11973544889170797,,
2023-03-07,-0.015447382668804362,0.15553030818581623,,,0.12626123782464,,,0.12166235043146245,,,0.12008258175108422,,
2023-03-08,0.0016306339392822187,0.14652213384197435,,,0.1187051652787559,,,0.11563875467858115,,,0.1156111060772265,,
2023-03-09,-0.018622073792578714,0.154989734322173,,,0.13038456409181012,,,0.12450357300525156,,,0.12221272653099358,,
2023-03-10,-0.014534667983952919,0.15946083453010393,,,0.1314441104461061,,,0.12883777790898251,,,0.12731198068571825,,
2023-03-13,-0.0014261115133686185,0.15845202723885576,,,0.14090924379541409,,,0.14105187681769604,,,0.14154858135587614,,
2023-03-14,0.016394863345871136,0.16495194530749838,,,0.14308966721311417,,,0.14557887097612937,,,0.1469204086837045,,
2023-03-15,-0.006274035263429245,0.16523156507053252,,,0.14263288335694424,,,0.14386154473826288,,,0.14545314051902905,,
2023-03-16,0.01739303773053824,0.17926338942919873,,,0.1511765254334219,,,0.1476894101712085,,,0.14681326622620386,,
2023-03-17,-0.011761562169400316,0.17759705871031353,,,0.15249803466583592,,,0.14847539943841712,,,0.1452716110426322,,
2023-03-20,0.009569526705664482,0.18234161973584534,,,0.15304273501710144,,,0.14847435429263958,,,0.14463818215171081,,
2023-03-21,0.013045193675672664,0.17506069242119957,,,0.15178947966456705,,,0.14800762992760422,,,0.14465412150403745,,
2023-03-22,-0.01719342113162693,0.18559736584648967,,,0.1602642902287818,,,0.1556839764743217,,,0.15298969188113684,,
