event_name,metric,event_date,trading_date,pre_vol,post_vol,delta,pct_change
FOMC,c2c_20,2024-01-31,2024-01-31,0.1002344169028075,0.12203066151442357,0.02179624461161607,21.745270023120742
FOMC,c2c_20,2024-03-20,2024-03-20,0.12404959624676233,0.10071945013728774,-0.023330146109474592,-18.807111683834684
FOMC,c2c_20,2024-05-01,2024-05-01,0.11175919255536546,0.1215971883084006,0.00983799575303515,8.802851495335752
FOMC,c2c_20,2024-06-12,2024-06-12,0.09986207177387264,0.07256173459843368,-0.027300337175438963,-27.33804405466147
FOMC,c2c_20,2024-07-31,2024-07-31,0.09030714437005553,0.20234117492954334,0.11203403055948781,124.05887855383962
FOMC,c2c_20,2024-09-18,2024-09-18,0.17303193096427572,0.12062630536437927,-0.05240562559989645,-30.28667905851212
FOMC,c2c_20,2024-11-07,2024-11-07,0.10027480135960114,0.13245849992821032,0.032183698568609184,32.09549969906537
FOMC,c2c_20,2024-12-18,2024-12-18,0.10682052908506472,0.15249606734187351,0.0456755382568088,42.759138761085765
FOMC,c2c_20,2025-01-29,2025-01-29,0.1555587029941676,0.1224496367884426,-0.033109066205725,-21.283969053770242
FOMC,c2c_20,2025-03-19,2025-03-19,0.14835445548183251,0.30291428623905337,0.15455983075722085,104.18280344546056
FOMC,c2c_20,2025-04-30,2025-04-30,0.44637692303363785,0.2773891314403991,-0.16898779159323873,-37.857645158888346
FOMC,c2c_20,2025-06-11,2025-06-11,0.17022753383977138,0.11133372127245247,-0.058893812567318904,-34.597113192483526
FOMC,c2c_20,2025-07-30,2025-07-30,0.08567494950179946,0.10261052608811683,0.016935576586317364,19.767244316801914
FOMC,c2c_20,2025-09-17,2025-09-17,0.10243026119832721,0.07846782139696569,-0.02396243980136152,-23.3939067625387
FOMC,c2c_20,2025-11-06,2025-11-06,0.13377641366251797,0.13880784146379047,0.005031427801272498,3.7610724219034912
FOMC,park_20,2024-01-31,2024-01-31,0.08066364195868903,0.08116121337970815,0.0004975714210191245,0.6168472051806811
FOMC,park_20,2024-03-20,2024-03-20,0.07966778348411754,0.08524703718280321,0.005579253698685671,7.003149145975604
FOMC,park_20,2024-05-01,2024-05-01,0.10086431209991568,0.10044793293310328,-0.0004163791668124056,-0.41281118974959397
FOMC,park_20,2024-06-12,2024-06-12,0.08359175714047662,0.08010629217285625,-0.0034854649676203664,-4.169627588714297
FOMC,park_20,2024-07-31,2024-07-31,0.08127118241844361,0.1437899471775448,0.0625187647591012,76.92611685801344
FOMC,park_20,2024-09-18,2024-09-18,0.13186924375007708,0.10877061467281746,-0.023098629077259625,-17.51631269004386
FOMC,park_20,2024-11-07,2024-11-07,0.0804087134938806,0.08153356108799181,0.0011248475941112168,1.3989125621277623
FOMC,park_20,2024-12-18,2024-12-18,0.07710475991691415,0.12093961633827735,0.0438348564213632,56.85103807935901
FOMC,park_20,2025-01-29,2025-01-29,0.12192736606329095,0.09551733900302413,-0.026410027060266822,-21.660458937953038
FOMC,park_20,2025-03-19,2025-03-19,0.13358667443972608,0.23358397811502898,0.0999973036753029,74.85574747234344
FOMC,park_20,2025-04-30,2025-04-30,0.3301352398392364,0.21287798063853733,-0.1172572592006991,-35.51794690497113
FOMC,park_20,2025-06-11,2025-06-11,0.12640832431697469,0.09257523338271172,-0.03383309093426297,-26.76492320982354
FOMC,park_20,2025-07-30,2025-07-30,0.07263595247363636,0.07651915900383201,0.0038832065301956514,5.346121855571569
FOMC,park_20,2025-09-17,2025-09-17,0.07690991706143005,0.07317367080889561,-0.0037362462525344364,-4.857951217851652
FOMC,park_20,2025-11-06,2025-11-06,0.1097477099904041,0.12044152781702488,0.01069381782662078,9.744000879431383
FOMC,gk_20,2024-01-31,2024-01-31,0.08104634360966549,0.07937599073296418,-0.0016703528767013087,-2.060984866567262
FOMC,gk_20,2024-03-20,2024-03-20,0.08295804333571467,0.08424144310946048,0.001283399773745808,1.5470468228766496
FOMC,gk_20,2024-05-01,2024-05-01,0.0953488486195254,0.10143194915058944,0.006083100531064034,6.379836378871957
FOMC,gk_20,2024-06-12,2024-06-12,0.08552111520550752,0.08324112135412579,-0.002279993851381737,-2.666001075761119
FOMC,gk_20,2024-07-31,2024-07-31,0.0814447249519214,0.14792024410214127,0.06647551915021988,81.62041088537266
FOMC,gk_20,2024-09-18,2024-09-18,0.13422766224063185,0.1156331650116105,-0.018594497229021345,-13.852954688048372
FOMC,gk_20,2024-11-07,2024-11-07,0.0823320689191667,0.08285751099165094,0.0005254420724842418,0.6381985529844012
FOMC,gk_20,2024-12-18,2024-12-18,0.0794070939079469,0.11141029541605152,0.03200320150810462,40.30269832718536
FOMC,gk_20,2025-01-29,2025-01-29,0.11595433733279951,0.0943319217478074,-0.021622415584992116,-18.64735384838069
FOMC,gk_20,2025-03-19,2025-03-19,0.13062564890590928,0.22396262472403627,0.093336975818127,71.45378920594561
FOMC,gk_20,2025-04-30,2025-04-30,0.29944848277853625,0.20617218437878165,-0.0932762983997546,-31.14936416917469
FOMC,gk_20,2025-06-11,2025-06-11,0.13411455026848557,0.09702695883723042,-0.037087591431255146,-27.6536672247784
FOMC,gk_20,2025-07-30,2025-07-30,0.07543366426391049,0.07442485469618497,-0.0010088095677255188,-1.3373466310692808
FOMC,gk_20,2025-09-17,2025-09-17,0.07588702139629029,0.07384130938002531,-0.0020457120162649806,-2.6957337086430755
FOMC,gk_20,2025-11-06,2025-11-06,0.10428349007345897,0.1214317580519022,0.017148267978443238,16.44389535329487
